sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
3659;SDS011;1846;51.482;7.224;2023-02-25T00:02:20;13.25;;;2.97;;
3659;SDS011;1846;51.482;7.224;2023-02-25T00:04:48;11.35;;;3.30;;
3659;SDS011;1846;51.482;7.224;2023-02-25T00:07:15;14.75;;;3.40;;
3659;SDS011;1846;51.482;7.224;2023-02-25T00:09:42;14.88;;;4.03;;
3659;SDS011;1846;51.482;7.224;2023-02-25T00:12:09;14.35;;;3.42;;
3659;SDS011;1846;51.482;7.224;2023-02-25T00:14:35;10.82;;;3.30;;
3659;SDS011;1846;51.482;7.224;2023-02-25T00:17:02;13.30;;;3.70;;
3659;SDS011;1846;51.482;7.224;2023-02-25T00:19:29;11.37;;;3.27;;
3659;SDS011;1846;51.482;7.224;2023-02-25T00:21:57;16.52;;;3.35;;
3659;SDS011;1846;51.482;7.224;2023-02-25T00:24:24;10.55;;;3.30;;
3659;SDS011;1846;51.482;7.224;2023-02-25T00:26:51;12.88;;;3.35;;
3659;SDS011;1846;51.482;7.224;2023-02-25T00:29:18;10.73;;;3.40;;
3659;SDS011;1846;51.482;7.224;2023-02-25T00:31:46;11.23;;;3.78;;
3659;SDS011;1846;51.482;7.224;2023-02-25T00:34:13;11.43;;;3.20;;
3659;SDS011;1846;51.482;7.224;2023-02-25T00:36:41;17.08;;;3.80;;
3659;SDS011;1846;51.482;7.224;2023-02-25T00:39:10;12.85;;;3.70;;
3659;SDS011;1846;51.482;7.224;2023-02-25T00:41:37;10.10;;;3.08;;
3659;SDS011;1846;51.482;7.224;2023-02-25T00:44:04;12.43;;;3.00;;
3659;SDS011;1846;51.482;7.224;2023-02-25T00:46:31;11.50;;;3.60;;
3659;SDS011;1846;51.482;7.224;2023-02-25T00:48:59;15.32;;;4.20;;
3659;SDS011;1846;51.482;7.224;2023-02-25T00:51:27;9.88;;;3.45;;
3659;SDS011;1846;51.482;7.224;2023-02-25T00:53:55;14.77;;;3.08;;
3659;SDS011;1846;51.482;7.224;2023-02-25T00:56:24;10.95;;;2.88;;
3659;SDS011;1846;51.482;7.224;2023-02-25T00:58:51;16.93;;;4.00;;
3659;SDS011;1846;51.482;7.224;2023-02-25T01:01:20;12.57;;;3.43;;
3659;SDS011;1846;51.482;7.224;2023-02-25T01:03:49;14.60;;;3.33;;
3659;SDS011;1846;51.482;7.224;2023-02-25T01:06:17;11.77;;;4.05;;
3659;SDS011;1846;51.482;7.224;2023-02-25T01:08:44;11.27;;;3.80;;
3659;SDS011;1846;51.482;7.224;2023-02-25T01:11:11;26.80;;;4.10;;
3659;SDS011;1846;51.482;7.224;2023-02-25T01:13:41;15.68;;;3.40;;
3659;SDS011;1846;51.482;7.224;2023-02-25T01:16:09;12.85;;;2.85;;
3659;SDS011;1846;51.482;7.224;2023-02-25T01:18:37;16.40;;;3.45;;
3659;SDS011;1846;51.482;7.224;2023-02-25T01:21:04;11.80;;;2.80;;
3659;SDS011;1846;51.482;7.224;2023-02-25T01:23:31;13.95;;;3.38;;
3659;SDS011;1846;51.482;7.224;2023-02-25T01:25:58;14.13;;;3.78;;
3659;SDS011;1846;51.482;7.224;2023-02-25T01:28:25;12.50;;;3.30;;
3659;SDS011;1846;51.482;7.224;2023-02-25T01:30:54;15.27;;;4.35;;
3659;SDS011;1846;51.482;7.224;2023-02-25T01:33:21;19.50;;;3.87;;
3659;SDS011;1846;51.482;7.224;2023-02-25T01:35:48;12.35;;;3.05;;
3659;SDS011;1846;51.482;7.224;2023-02-25T01:38:15;19.38;;;3.83;;
3659;SDS011;1846;51.482;7.224;2023-02-25T01:40:42;16.00;;;4.18;;
3659;SDS011;1846;51.482;7.224;2023-02-25T01:43:11;12.13;;;3.85;;
3659;SDS011;1846;51.482;7.224;2023-02-25T01:45:40;13.20;;;3.30;;
3659;SDS011;1846;51.482;7.224;2023-02-25T01:48:12;11.38;;;3.50;;
3659;SDS011;1846;51.482;7.224;2023-02-25T01:50:48;15.45;;;3.95;;
3659;SDS011;1846;51.482;7.224;2023-02-25T01:53:17;11.38;;;2.90;;
3659;SDS011;1846;51.482;7.224;2023-02-25T01:55:49;14.15;;;4.05;;
3659;SDS011;1846;51.482;7.224;2023-02-25T01:58:16;12.63;;;3.37;;
3659;SDS011;1846;51.482;7.224;2023-02-25T02:00:43;14.45;;;3.40;;
3659;SDS011;1846;51.482;7.224;2023-02-25T02:03:12;16.67;;;3.45;;
3659;SDS011;1846;51.482;7.224;2023-02-25T02:08:29;20.25;;;4.20;;
3659;SDS011;1846;51.482;7.224;2023-02-25T02:10:58;21.30;;;3.88;;
3659;SDS011;1846;51.482;7.224;2023-02-25T02:13:26;9.05;;;3.40;;
3659;SDS011;1846;51.482;7.224;2023-02-25T02:16:06;12.32;;;3.88;;
3659;SDS011;1846;51.482;7.224;2023-02-25T02:18:47;17.65;;;4.30;;
3659;SDS011;1846;51.482;7.224;2023-02-25T02:21:19;11.48;;;3.80;;
3659;SDS011;1846;51.482;7.224;2023-02-25T02:24:14;9.48;;;3.28;;
3659;SDS011;1846;51.482;7.224;2023-02-25T02:27:03;11.93;;;3.30;;
3659;SDS011;1846;51.482;7.224;2023-02-25T02:29:50;17.27;;;3.72;;
3659;SDS011;1846;51.482;7.224;2023-02-25T02:32:32;17.37;;;4.50;;
3659;SDS011;1846;51.482;7.224;2023-02-25T02:35:03;14.60;;;3.10;;
3659;SDS011;1846;51.482;7.224;2023-02-25T02:37:38;24.00;;;3.88;;
3659;SDS011;1846;51.482;7.224;2023-02-25T02:40:20;13.82;;;2.80;;
3659;SDS011;1846;51.482;7.224;2023-02-25T02:43:01;18.23;;;3.53;;
3659;SDS011;1846;51.482;7.224;2023-02-25T02:45:35;21.50;;;4.47;;
3659;SDS011;1846;51.482;7.224;2023-02-25T02:48:10;9.45;;;3.15;;
3659;SDS011;1846;51.482;7.224;2023-02-25T02:50:41;15.73;;;3.78;;
3659;SDS011;1846;51.482;7.224;2023-02-25T02:53:12;16.67;;;3.33;;
3659;SDS011;1846;51.482;7.224;2023-02-25T02:55:44;15.50;;;4.47;;
3659;SDS011;1846;51.482;7.224;2023-02-25T02:58:14;19.05;;;3.63;;
3659;SDS011;1846;51.482;7.224;2023-02-25T03:00:45;18.15;;;4.00;;
3659;SDS011;1846;51.482;7.224;2023-02-25T03:03:21;15.18;;;2.90;;
3659;SDS011;1846;51.482;7.224;2023-02-25T03:06:00;16.05;;;3.30;;
3659;SDS011;1846;51.482;7.224;2023-02-25T03:08:30;11.45;;;3.20;;
3659;SDS011;1846;51.482;7.224;2023-02-25T03:10:59;13.55;;;3.20;;
3659;SDS011;1846;51.482;7.224;2023-02-25T03:13:26;12.30;;;4.28;;
3659;SDS011;1846;51.482;7.224;2023-02-25T03:15:53;11.90;;;3.00;;
3659;SDS011;1846;51.482;7.224;2023-02-25T03:18:23;18.58;;;4.00;;
3659;SDS011;1846;51.482;7.224;2023-02-25T03:20:56;16.15;;;3.67;;
3659;SDS011;1846;51.482;7.224;2023-02-25T03:23:24;13.17;;;3.03;;
3659;SDS011;1846;51.482;7.224;2023-02-25T03:25:56;17.83;;;3.75;;
3659;SDS011;1846;51.482;7.224;2023-02-25T03:28:34;17.93;;;4.20;;
3659;SDS011;1846;51.482;7.224;2023-02-25T03:31:03;21.58;;;5.00;;
3659;SDS011;1846;51.482;7.224;2023-02-25T03:33:37;21.13;;;4.80;;
3659;SDS011;1846;51.482;7.224;2023-02-25T03:36:12;16.77;;;3.50;;
3659;SDS011;1846;51.482;7.224;2023-02-25T03:38:46;23.55;;;3.83;;
3659;SDS011;1846;51.482;7.224;2023-02-25T03:41:17;20.67;;;3.70;;
3659;SDS011;1846;51.482;7.224;2023-02-25T03:43:46;18.10;;;4.05;;
3659;SDS011;1846;51.482;7.224;2023-02-25T03:46:16;19.30;;;4.50;;
3659;SDS011;1846;51.482;7.224;2023-02-25T03:48:46;14.73;;;3.88;;
3659;SDS011;1846;51.482;7.224;2023-02-25T03:51:17;18.52;;;3.88;;
